ERROR|COMPILE_TIME_ERROR|RETURN_OF_INVALID_TYPE_FROM_CLOSURE|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\filtered_menu_screen.dart|21|24|1|The returned type 'SpotlightBestTopFood' isn't returnable from a 'Iterable<_>' function, as required by the closure's context.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\best_in_safety_view.dart|3|8|41|Unused import: 'package:swiggy_ui/utils/app_colors.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\filtered_menu_screen.dart|5|8|59|Unused import: 'package:swiggy_ui/widgets/mobile/food_list_item_view.dart'.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\foodora_screen.dart|135|11|15|The value of the local variable 'isTabletDesktop' isn't used.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\popular_brand_view.dart|6|8|43|Unused import: 'package:swiggy_ui/widgets/responsive.dart'.
WARNING|STATIC_WARNING|DUPLICATE_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\restaurants\\restaurant_detail_screen.dart|4|8|32|Duplicate import.
WARNING|STATIC_WARNING|UNUSED_LOCAL_VARIABLE|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\restaurants\\restaurant_vertical_list_view.dart|24|11|15|The value of the local variable 'isTabletDesktop' isn't used.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\foodora\\top_offer_view.dart|3|8|41|Unused import: 'package:swiggy_ui/utils/app_colors.dart'.
WARNING|STATIC_WARNING|UNUSED_IMPORT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\login_screen.dart|9|8|36|Unused import: 'home_bottom_navigation_screen.dart'.
WARNING|STATIC_WARNING|UNUSED_ELEMENT|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\login_screen.dart|40|8|10|The declaration '_showError' isn't referenced.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|C:\\Users\\HP\\Downloads\\6th sem 1\\flutter\\SwiggyUI\\SwiggyUI\\lib\\views\\mobile\\account\\account_screen.dart|422|33|84|Use 'const' with the constructor to improve performance.
